an_component,an_table,an_column,op_component,op_table,op_column,source_expr
AMLS,AML_USER_INFO,MBR_ID,AMLS,AML_USER_INFO,USER_ID,
AMLS,AML_USER_INFO,SYS_CRE_DTTM,AMLS,AML_USER_INFO,,"from_unixtime(unix_timestamp(CREATED, 'yyyy/MM/dd HH:mm:ss'))"
AMLS,AML_USER_INFO,ASP_ID,AMLS,AML_USER_INFO,ASP_ID,
AMLS,AML_USER_INFO,EXN_DT,AMLS,AML_USER_INFO,EXPIRY_DT,
AMLS,AML_USER_INFO,MBR_ACT_ST_CD,AMLS,AML_USER_INFO,USER_STATUS,
AMLS,AML_USER_INFO,AML_ST_CD,AMLS,AML_USER_INFO,AML_STATUS,
AMLS,AML_USER_INFO,AML_RSP_CD,AMLS,AML_USER_INFO,AML_ORIGIN_STATUS,
AMLS,AML_USER_INFO,JYN_YN,AMLS,AML_USER_INFO,MINOR_YN,
AMLS,AML_USER_INFO,AML_MBR_EDD_HIST_SNO,AMLS,AML_USER_INFO,RECENT_EDD_ID,
AMLS,AML_USER_INFO,RE_EXCU_DT,AMLS,AML_USER_INFO,AML_RETRY_EXE_DT,
AMLS,AML_USER_INFO,SYS_UPD_DTTM,AMLS,AML_USER_INFO,,"from_unixtime(unix_timestamp(UPDATED, 'yyyy/MM/dd HH:mm:ss'))"
AMLS,AML_USER_INFO,EXCU_DTTM,AMLS,AML_USER_INFO,,"from_unixtime(unix_timestamp(AML_EXE_DT, 'yyyy/MM/dd HH:mm:ss'))"
AMLS,AML_USER_INFO,ERR_TID,AMLS,AML_USER_INFO,ERROR_TID,
AMLS,AML_USER_INFO,ERR_DTTM,AMLS,AML_USER_INFO,,"from_unixtime(unix_timestamp(ERROR_DT, 'yyyy/MM/dd HH:mm:ss'))"
AMLS,AML_USER_INFO,tr_rjct_rsn_cn,AMLS,AML_USER_INFO,TR_RJCT_RSN_CN,
BIZ,CCP_CARD,par_no,BIZ,CCP_CARD,PAR,
BIZ,CCP_CARD,sys_cre_dttm,BIZ,CCP_CARD,,"from_unixtime(unix_timestamp(REG_DATE, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,CCP_CARD,entp_ptn_id,BIZ,CCP_CARD,PARTNER_ID,
BIZ,CCP_CARD,AFC_CRD_PRD_SNO,BIZ,CCP_CARD,PRODUCT_SEQ,
BIZ,CCP_CARD,sys_upd_dttm,BIZ,CCP_CARD,,"from_unixtime(unix_timestamp(UPT_DATE, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,CCP_CARD,corp_crd_mgmt_stf_id,BIZ,CCP_CARD,CORP_CARD_MANAGER_ID,
BIZ,CCP_CARD,STF_ID,BIZ,CCP_CARD,EMPLOYEE_ID,
BIZ,CCP_CARD,bsc_stn_use_yn,BIZ,CCP_CARD,DEFAULT_SETTING_YN,
BIZ,CCP_CARD,corp_crd_comn_use_yn,BIZ,CCP_CARD,CORP_PUBLIC_USE_YN,
BIZ,CCP_CARD,corp_crd_bala_lmt_amt,BIZ,CCP_CARD,CORP_CARD_BALANCE_LIMIT,
BIZ,CCP_CARD,dscr_cn,BIZ,CCP_CARD,EXPLANATION,
BIZ,CCP_CARD,corp_crd_orgz_no,BIZ,CCP_CARD,CORP_CARD_MANAGE_PART_CD,
BIZ,CCP_CARD,crd_dsb_dtl_dttm,BIZ,CCP_CARD,,"from_unixtime(unix_timestamp(ASSIGNMENT_DATE, 'yyyy/MM/dd HH:mm:ss'))"
