schema,table,column,comment,col_seq,table_comment
aml,aml_user_info,mbr_id,회원ID,1,AML회원수행정보
aml,aml_user_info,sys_cre_dttm,시스템생성일시,2,AML회원수행정보
aml,aml_user_info,asp_id,ASP_ID,3,AML회원수행정보
aml,aml_user_info,exn_dt,만료일자,4,AML회원수행정보
aml,aml_user_info,mbr_act_st_cd,회원활성상태코드,5,AML회원수행정보
aml,aml_user_info,aml_st_cd,AML상태코드,6,AML회원수행정보
aml,aml_user_info,aml_rsp_cd,AML응답코드,7,AML회원수행정보
aml,aml_user_info,jyn_yn,미성년자여부,8,AML회원수행정보
aml,aml_user_info,aml_mbr_edd_hist_sno,AML회원EDD이력일련번호,9,AML회원수행정보
aml,aml_user_info,re_excu_dt,재수행일자,10,AML회원수행정보
aml,aml_user_info,sys_upd_dttm,시스템수정일시,11,AML회원수행정보
aml,aml_user_info,excu_dttm,수행일시,12,AML회원수행정보
aml,aml_user_info,err_tid,오류TID,13,AML회원수행정보
aml,aml_user_info,err_dttm,오류일시,14,AML회원수행정보
aml,aml_user_info,tr_rjct_rsn_cn,AML거래거절사유구분코드,15,AML회원수행정보
aml,aml_user_info,hdfs_upd_dttm,하둡변경일시,16,AML회원수행정보
bid,contract,lgft_mc_apl_sno,ID,1,
bid,contract,bzno,사업자등록번호,2,
bid,contract,rep_bzpl_nm,대표사업장명,3,
bid,contract,bzpl_addr,사업장주소,4,
bid,contract,bztp_cd_and_bztp_nm,업종코드및업종명,5,
bid,contract,sign_img_cn,서명이미지내용,6,
bid,contract,dmc_apl_yn,코나가맹점신청여부,7,
bid,contract,apl_dttm,신청일시,8,
bid,contract,psno,우편번호,9,
bid,contract,sido_nm,시구분코드,10,
bid,contract,sgg_nm,시군구구분코드,11,
bid,contract,acqr_dv_cd,가맹점유형코드,12,
bid,contract,sido_cd,지역그룹관리번호,13,
bid,contract,sgg_cd,행정시도코드,14,
bid,contract,ka_id,지방자치단체KA_ID,15,
bid,contract,pofn_phn_no,신청자사업장대표국번전화번호,16,
bid,contract,bpos_phn_no,신청사업장대표뒷자리전화번호,17,
bid,contract,enc_aplp_brth_dt,신청대표자생년월일,18,
bid,contract,sex_cd,성별코드,19,
bid,contract,chg_st_cd,변경상태코드,20,
bid,contract,prcs_st_cd,가맹점신청처리상태코드,21,
bid,contract,prcs_st_dtl_cd,가맹점신청상세상태코드,22,
bid,contract,mc_id,가맹점ID,23,
bid,contract,apl_type_cd,등록온라인구분코드,24,
bid,contract,acqr_info_save_dt,확장정보저장일시,25,
bid,contract,bc_bank_cd,사이트은행기관코드,26,
bid,contract,bc_bank_nm,은행명,27,
bid,contract,stlm_psbl_mc_yn,결제가능가맹점여부,28,
bid,contract,stlm_psbl_mc_vldn_dttm,결제가능가맹점확인일시,29,
bid,contract,bc_acqr_bat_id,BC매입사배치ID,30,
bid,contract,sub_reg_type_cd,세부등록유형코드,31,
bid,contract,trnsf_trgt_cn,이관대상내용,32,
bid,contract,cppn_yn,개인정보제공동의여부,33,
bid,contract,kb_acqr_bat_id,KB매입사배치일련번호,34,
bid,contract,kb_acqr_bat_dttm,KB매입사배치일시,35,
bid,contract,kb_bank_cd,매입사은행기관코드,36,
bid,contract,kb_bank_nm,매입사은행명,37,
bid,contract,trnsf_fail_rsn_cn,이관실패사유내용,38,
bid,contract,bid,계약벌크배치ID,39,
bid,contract,qr_mc_apl_yn,QR가맹점신청여부,40,
bid,contract,bsrgc_file_nm,사업자등록증파일명,41,
bid,contract,bsrgc_file_pth_nm,사업자등록증파일경로명,42,
bid,contract,bnkb_cpy_file_nm,통장사본파일명,43,
bid,contract,bnkb_cpy_file_pth_nm,통장사본파일경로명,44,
bid,contract,bnf_mc_apl_yn,상생가맹점추가신청여부,45,
bid,contract,bnf_mc_dcrt,상생가맹점할인율,46,
bid,contract,mc_reg_rjct_rsn_cn,가맹점등록거절사유내용,47,
bid,contract,rapl_yn,RE_REQUEST,48,
bid,contract,mc_reg_cncl_rsn_cn,가맹점등록취소사유내용,49,
bid,contract,mc_reg_dt,등록일자,50,
bid,contract,elc_con_apl_no,전자계약신청번호,51,
bid,contract,sys_cre_dttm,시스템생성일시,52,
bid,contract,sys_cre_id,시스템생성자ID,53,
bid,contract,sys_upd_dttm,시스템수정일시,54,
bid,contract,sys_upd_id,시스템수정자ID,55,
bid,contract,hdfs_upd_dttm,하둡변경일시,56,
bid,contract_history,lgft_mc_apv_sno,지역사랑상품권가맹점신청일련번호,1,
bid,contract_history,mc_rgno,가맹점등록번호,2,
