component,table,column,data_type,column_desc,table_desc,is_pii
AMLS,AML_USER_INFO,USER_ID,VARCHAR,USER_ID (식별자),AML_USER_INFO 테이블,N
AMLS,AML_USER_INFO,ASP_ID,VARCHAR,ASP_ID (식별자),AML_USER_INFO 테이블,N
AMLS,AML_USER_INFO,EXPIRY_DT,TIMESTAMP,EXPIRY_DT (일자),AML_USER_INFO 테이블,N
AMLS,AML_USER_INFO,USER_STATUS,VARCHAR,USER_STATUS 항목,AML_USER_INFO 테이블,N
AMLS,AML_USER_INFO,AML_STATUS,VARCHAR,AML_STATUS 항목,AML_USER_INFO 테이블,N
AMLS,AML_USER_INFO,AML_ORIGIN_STATUS,VARCHAR,AML_ORIGIN_STATUS 항목,AML_USER_INFO 테이블,N
AMLS,AML_USER_INFO,MINOR_YN,CHAR,MINOR_YN (여부),AML_USER_INFO 테이블,N
AMLS,AML_USER_INFO,RECENT_EDD_ID,VARCHAR,RECENT_EDD_ID (식별자),AML_USER_INFO 테이블,N
AMLS,AML_USER_INFO,AML_RETRY_EXE_DT,TIMESTAMP,AML_RETRY_EXE_DT (일자),AML_USER_INFO 테이블,N
AMLS,AML_USER_INFO,ERROR_TID,VARCHAR,ERROR_TID (식별자),AML_USER_INFO 테이블,N
AMLS,AML_USER_INFO,TR_RJCT_RSN_CN,VARCHAR,TR_RJCT_RSN_CN (내용),AML_USER_INFO 테이블,N
BIZ,CCP_CARD,PAR,VARCHAR,PAR 항목,CCP_CARD 테이블,N
BIZ,CCP_CARD,PARTNER_ID,VARCHAR,PARTNER_ID (식별자),CCP_CARD 테이블,N
BIZ,CCP_CARD,PRODUCT_SEQ,VARCHAR,PRODUCT_SEQ 항목,CCP_CARD 테이블,N
BIZ,CCP_CARD,CORP_CARD_MANAGER_ID,VARCHAR,CORP_CARD_MANAGER_ID (식별자),CCP_CARD 테이블,N
BIZ,CCP_CARD,EMPLOYEE_ID,VARCHAR,EMPLOYEE_ID (식별자),CCP_CARD 테이블,N
BIZ,CCP_CARD,DEFAULT_SETTING_YN,CHAR,DEFAULT_SETTING_YN (여부),CCP_CARD 테이블,N
BIZ,CCP_CARD,CORP_PUBLIC_USE_YN,CHAR,CORP_PUBLIC_USE_YN (여부),CCP_CARD 테이블,N
BIZ,CCP_CARD,CORP_CARD_BALANCE_LIMIT,VARCHAR,CORP_CARD_BALANCE_LIMIT 항목,CCP_CARD 테이블,N
