component,table,column,reason_code,reason_note
AMLS,AML_USER_INFO,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
AMLS,AML_USER_INFO,LEGACY_FLAG,ETC,운영계 전용 내부 항목
AMLS,AML_USER_INFO,BATCH_SEQ,PENDING,차기 이관 예정
BIZ,CCP_MEMBER_LOG,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
BIZ,CCP_PARTNER,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
BIZ,CCP_PARTNER,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
BIZ,CCP_PARTNER,TMP_WORK_VAL,PENDING,차기 이관 예정
BIZ,CCP_PRODUCT,INTERNAL_MEMO,PENDING,차기 이관 예정
BIZ,CCP_PRODUCT_MANAGER,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
BIZ,CCP_PRODUCT_MANAGER,LEGACY_FLAG,ETC,운영계 전용 내부 항목
BIZ,CCP_RECHARGER,CUST_NM,PII_EXCLUDED,개인정보 — 이관 대상 제외
BIZ,CCP_RECHARGER,BATCH_SEQ,UNFIT,분석 요건에 부적합한 컬럼
BIZ,CCP_RECHARGER,TMP_WORK_VAL,PENDING,차기 이관 예정
BIZ,RCS_APPMEMBER_REG_HISTORY,INTERNAL_MEMO,UNFIT,분석 요건에 부적합한 컬럼
BIZ,RCS_BONBU,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
BIZ,RCS_BONBU_MAPPING,INTERNAL_MEMO,PENDING,차기 이관 예정
BIZ,TB_LEGACY_UNMIGRATED,,NO_REQUEST,이관 요청에 포함되지 않은 테이블
BIZD,contract,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
BIZD,contract,RMK_CN,PENDING,차기 이관 예정
BIZD,contract,TMP_WORK_VAL,UNFIT,분석 요건에 부적합한 컬럼
BIZD,CONTRACT_HISTORY,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
BIZD,CONTRACT_MERCHANT,CUST_NM,PII_EXCLUDED,개인정보 — 이관 대상 제외
BIZD,CONTRACT_MERCHANT,TMP_WORK_VAL,ETC,운영계 전용 내부 항목
BIZD,OWNER,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
BIZD,OWNER,BATCH_SEQ,UNFIT,분석 요건에 부적합한 컬럼
BIZD,OWNER_MAPPED,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
BIZD,TB_LEGACY_UNMIGRATED,,NO_REQUEST,이관 요청에 포함되지 않은 테이블
CAMS,CAM_CNVG_SVC_MAPNG,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
CAMS,CAM_CRD_APL_ADD,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
CAMS,CARD_DELIVERY,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
CAMS,CARD_DELIVERY,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
CAMS,EXT_CARD_MAP,RMK_CN,ETC,운영계 전용 내부 항목
CAMS,EXT_CARD_MAP,BATCH_SEQ,PENDING,차기 이관 예정
CAMS,ISSUED_CARD_REGISTER,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
CAMS,ISSUED_CARD_REGISTER,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
CAS,CAS_CRD_AUTHT,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
CAS,CAS_CRD_AUTHT,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
CAS,CAS_SPPM_CRD_AUTHT,INTERNAL_MEMO,UNFIT,분석 요건에 부적합한 컬럼
CAS,CAS_SPPM_CRD_AUTHT,RMK_CN,ETC,운영계 전용 내부 항목
CAS,CAS_SPPM_ITG_CD,BATCH_SEQ,PENDING,차기 이관 예정
CDM,SHIPPING_INFO,BATCH_SEQ,PENDING,차기 이관 예정
CDM,SHIPPING_INFO,INTERNAL_MEMO,UNFIT,분석 요건에 부적합한 컬럼
CDM,SHIPPING_INFO_HISTORY,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
CDM,SHIPPING_TRY,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
CDM,SHIPPING_TRY,CUST_NM,PII_EXCLUDED,개인정보 — 이관 대상 제외
CMS,CMS_CNVG_PAR,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
CMS,CMS_CNVG_PAR,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
CMS,CMS_CRD_VL_PRID_EXTS,BATCH_SEQ,PENDING,차기 이관 예정
CMS,DEDUCTION_INFO,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
CMS,DEDUCTION_INFO,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
CMS,NAMED_INFO,CUST_NM,PII_EXCLUDED,개인정보 — 이관 대상 제외
CMS,NAMED_INFO,INTERNAL_MEMO,ETC,운영계 전용 내부 항목
CMS,NAMED_INFO,BATCH_SEQ,UNFIT,분석 요건에 부적합한 컬럼
CMS,PAN_CHAN_HIS,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
CMS,PAN_CHAN_HIS,LEGACY_FLAG,UNFIT,분석 요건에 부적합한 컬럼
CMS,PAN_INFO,RMK_CN,PENDING,차기 이관 예정
CRM,TB_CONSULTING_LOG,INTERNAL_MEMO,UNFIT,분석 요건에 부적합한 컬럼
CRM,TB_LEGACY_UNMIGRATED,,NO_REQUEST,이관 요청에 포함되지 않은 테이블
CRS,LOTTERY,CUST_NM,PII_EXCLUDED,개인정보 — 이관 대상 제외
CRS,LUCKY,TMP_WORK_VAL,UNFIT,분석 요건에 부적합한 컬럼
CRS,REWARD,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
CRS,TICKET,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
CRS,TICKET,INTERNAL_MEMO,PENDING,차기 이관 예정
CS,TB_ARS_AUTH_BANK_ACC_REG,CUST_NM,PII_EXCLUDED,개인정보 — 이관 대상 제외
CS,TB_ARS_AUTH_BANK_ACC_REG,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
CS,TB_ARS_AUTH_BANK_ACC_REG,TMP_WORK_VAL,UNFIT,분석 요건에 부적합한 컬럼
CS,TB_ARS_AUTH_BANK_ACC_REG,RMK_CN,PENDING,차기 이관 예정
CS,TB_AUTO_PRE_REC_PLAN,INTERNAL_MEMO,ETC,운영계 전용 내부 항목
CS,TB_BP_MONTHLY_LOG,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
CS,TB_BP_THRESHOLD,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
CS,TB_BP_THRESHOLD,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
CS,TB_BP_THRESHOLD,LEGACY_FLAG,ETC,운영계 전용 내부 항목
CS,TB_CHARGE,BATCH_SEQ,PENDING,차기 이관 예정
CS,TB_CHARGE,LEGACY_FLAG,UNFIT,분석 요건에 부적합한 컬럼
CS,TB_LEGACY_UNMIGRATED,,NO_REQUEST,이관 요청에 포함되지 않은 테이블
CS,TB_PG_KIBNET,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
